Question,Answer
How are my placements arranged?,"The process for accessing and securing a placement may differ depending on your course, your location, and the type of setting. Once you’re enrolled in your course you will be able to access information and resources about placements. Our Placements Team is also available to answer any questions you may have and give you advice."
Has Swinburne Online been affected by COVID-19?,"Neither the operations nor the teaching period at Swinburne Online have been impacted by the COVID-19 pandemic. We will continue to operate as business as usual throughout this time of uncertainty, with no reduction in teaching, support, or enrollment services. Our intake dates remain unchanged. Swinburne Online is designed to thrive in the online environment. Our experienced support teams and tutors have always effectively worked with our satisfied students from a distance."
Does the Graduate Certification in Professional Data Analytics prepare me for the Tableau Desktop Certified Specialist certification exam?,"Yes! The Data Analytics for Business unit, which forms part of the Graduate Certificate of Professional Data Analytics, covers the subjects and topics assessed in the Tableau Desktop Certified Specialist certification exam. These include how to create and explain data connections, organize and simplify data, create basic charts and visualizations, calculate and map data, and create a dashboard. While the unit will equip you with the knowledge and skills that are tested on the exam, it is not designed to be direct preparation for the certification, and we recommend consulting the Tableau exam guide and free resources, in addition to the unit content, during your preparation."
"Do you offer online support, or will I need to figure it all out myself?","We have a whole variety of support options available to students seven days a week, so no one is ever left feeling alone. For students studying a degree with us, your small online class of 20-24 students is run by a dedicated online tutor (eLearning Advisor), who will always be happy to respond to your questions. Our Student Advisors (SAs) are a team of academic/technical and administrative specialists who can be contacted seven days a week. They can help with issues from advice on assignments to problems with logging in to the Student Portal. We also have online assessment support options that will cater to a range of academic needs. To find out more about our university support options, visit the student support page on our website. For VET students, everything you need to know to complete your diploma is housed in our unique system called Canvas. However, if you do find yourself with questions one of our VET student team are on hand."
Do you offer HECS-HELP and FEE-HELP?,"We offer either HECS-HELP or FEE-HELP to Australian citizens and permanent humanitarian visa-holders for all of our university courses. For undergraduate degrees, Commonwealth Supported Places (CSP) are available for all students who meet the entry criteria. HECS-HELP is available for Australian citizens and permanent humanitarian visa-holders as part of their CSP offer. New Zealand citizens and Australian permanent residents will need to pay their unit fees up front, but will be eligible for our domestic student fee. For postgraduate courses, Australian citizens and Permanent Humanitarian visa-holders that are eligible for courses, will be able to use FEE-HELP to pay their tuition fees. International students are not eligible for any Australian government fee assistance."
Do you have postgraduate programs?,"Yes, we offer a number of postgraduate degrees in business and education that will help you develop the skills and knowledge for a great career. All programs require a bachelor degree in any discipline, or relevant work experience."
Do you have a head office somewhere if I want to meet someone face-to-face about my course?,"Because you will be studying a degree online, all of our support systems are available over the phone or online. When you go through our simple enrollment process you will speak to one of our knowledgeable course consultants over the phone. Once you are a student with us, you are always welcome to drop in to any of our campuses to access the library or any of our other student benefits."
Do you accept international students?,"Yes, Swinburne Online accepts applications from international students for our higher education courses. The process of applying to enroll is exactly the same as for domestic students. Simply fill in a request for information and submit any documentation required or speak to one of our Course Consultants on 800 4002 0400."
Do I need to purchase any learning materials for the Diploma of Nursing?,"Yes, you will be required to purchase textbooks for this course at an additional cost. You will also need to purchase a nursing kit and a uniform for when you go on placement at your own cost. You can purchase these online once you begin your studies or at your on-campus orientation tour."
Do I need to be logged on to study at specific times?,"You won’t normally have to be online at a specific time. Your course material is available for you from the beginning of each teaching period and you can work through it in the hours that suit you. There are some live webinar sessions that run approximately once a month. These are a special opportunity for students to sign in at the same time as their tutors, normally before an assessment deadline. It gives you the chance to ask any questions relating to the assignment in real-time and hear other students’ questions and thoughts. We understand that students won’t always be able to make these sessions, so they can be replayed the next day."
Do I need fancy software?,"For students undertaking a degree, most of the software, like your online eTexts, that you will need to complete your course can be downloaded for free, using a license provided to you by Swinburne Online. However, certain units will require students to purchase some software. If you are studying a unit(s) that requires you to purchase software, you will be notified via email prior to the start of the teaching period. All students can download a free version of Microsoft Office (Word, Excel, PowerPoint) for the duration of their studies. You will also need ongoing access to either:  Mac: OS X Version 10.7 or higher PC: Windows 7 or newer."
Do I have to purchase learning materials?,"For students undertaking a degree, most of your learning materials are included with a free license provided to you by Swinburne Online. However, in some cases, you will be notified via your student email that you will need to buy specific software or eTexts. For TAFE Business students, all of your learning materials will be available online and are covered by your course fees. You won’t need to purchase any further materials."
Do I have to pay for my studies upfront?,"If you are eligible for a HECS-HELP or FEE-HELP loan, you will be able to defer your study payments until you earn above the repayment threshold defined by the Australian Tax Office. We offer either HECS-HELP or FEE-HELP to Australian citizens and permanent humanitarian visa-holders for all of our university courses. For undergraduate degrees, Commonwealth Supported Places (CSP) are available for all students who meet the entry criteria. HECS-HELP is available for Australian citizens and permanent humanitarian visa-holders as part of their CSP offer. New Zealand citizens and Australian permanent residents will need to pay their unit fees up front, but will be eligible for our domestic student fee. For postgraduate courses, Australian citizens and Permanent Humanitarian visa-holders that are eligible for courses will be able to use FEE-HELP to pay their tuition fees. International students are not eligible for any Australian government fee assistance."
Can I study abroad?,"Yes, most students will be eligible for some type of overseas study program, either a longer-term student exchange or short-term study tours. For more information, visit our Swinburne Abroad page on the Swinburne University of Technology website."
Can I study a mixture of on-campus and online units?,"If you are an on-campus student at Swinburne University of Technology, you may be able to study some of your units online, through Swinburne Online. Speak to a Course Consultant today to find out if we can meet your unit requirements."
Can I do my education placement outside of Australia?,"You may be able to complete one primary placement overseas provided that it is undertaken at either an Australian Curriculum School or an International School where the language of instruction is English. All early childhood placements must be completed in Australia. For more information, contact the Placements Team via the Help Web Form."
Can I cover the cost of my Introductory Skill Set Course using VET Student Loan?,"No. Once you have finished your Introductory Skill Set course, you can apply for VSL to apply to the Diploma."
Are there dates I need to think about when applying for a VSL?,"Yes – It’s important that when you enroll, you take note of your desired start date as this will determine the deadline for your fee payment and your Census date. Start dates refer to your course start date (new students), as well as start date options for your next block of units. Census date is your last opportunity to change your enrollment without incurring the cost of your enrolled units."
Are the education degrees nationally recognized?,"Our education degrees are accredited and recognized by the Victorian Institute of Teaching (VIT) and/or by the Australian Institute of Teaching and Leadership (AITSL) and/or by the Australian Children’s Education & Care Quality Authority (ACECQA), depending on the particular course accreditation requirements. The Bachelor of Education (Primary), Bachelor of Education (Early Childhood and Primary), Master of Teaching (Primary) and Master of Teaching (Secondary) enable you to register as a teacher anywhere in Australia under mutual recognition. For the Bachelor of Education (Early Childhood Teaching), you should check with the teacher registration authority in your state or territory and course accreditation requirements necessary for any early childhood teacher registration requirements of your state or territory."
Are the courses the same as the on-campus courses?,"Swinburne Online students receive the same qualification as students at Swinburne University of Technology, an internationally ranked university with 30,000 students across its Melbourne and overseas campuses."
Are Postgraduate students eligible for Commonwealth Supported Places (CSP)?,There are currently no Commonwealth Supported Places available to postgraduate students.
Are placements available part-time for education students?,"When attending placement you are required to attend full days (seven to eight hours per day). We recommend you complete your placement five days per week over four weeks. You also have the option of completing some placements three consecutive days per week (e.g. Wed, Thurs, Fri) over eight weeks."
Are exams only held at the end of each teaching period?,"Yes, you are only required to attend exams at the end of each teaching period. There are no formal mid-semester exams."
Am I eligible for a student concession card when studying online?,"Yes, you can request a student card when you enroll with Swinburne Online. You can use this to borrow books at Swinburne University of Technology’s library or any ULANZ libraries and will also need it when you attend exams."
Am I eligible for a Commonwealth Supported Place and a HELP loan?,"A Commonwealth Supported Place (CSP) is a subsidized higher education place. You will only pay the student contribution (remaining amount) of the unit fees after the government subsidy has been applied. A HECS-HELP loan will allow you to defer your fees to a government loan for CSP courses, allowing you to avoid any upfront fees for your course. You would start to pay this loan back once you are earning over the advised threshold. This loan is available to Australian citizens and Humanitarian Visa holders. A FEE-HELP loan will allow you to defer your fees to a government loan for full fee-paying places (non-CSP), allowing you to avoid any upfront fees for your course. You would start to pay this loan back once you are earning over the advised threshold. This loan is available to Australian citizens and Humanitarian Visa holders. You can nominate to defer your fees to a HELP loan during your enrollment, and once you log into your student account, that application can be finalized."
Am I able to study at Swinburne Online if I don't live in Victoria?,"You can study at Swinburne Online from any state or territory in Australia, as long as you meet the entry requirements for your online course and have an Internet connection!"
